dataset,total_traces,total_spans,keep_rate,kept_traces_est,dropped_traces_est
train-ticket,27364,1044580,0.1,2736,24628
train-ticket,27364,1044580,0.2,5473,21891
train-ticket,27364,1044580,0.3,8209,19155
train-ticket,27364,1044580,0.4,10946,16418
train-ticket,27364,1044580,0.5,13682,13682
train-ticket,27364,1044580,0.6,16418,10946
hipster-batch1,121449,5474387,0.1,12145,109304
hipster-batch1,121449,5474387,0.2,24290,97159
hipster-batch1,121449,5474387,0.3,36435,85014
hipster-batch1,121449,5474387,0.4,48580,72869
hipster-batch1,121449,5474387,0.5,60724,60725
hipster-batch1,121449,5474387,0.6,72869,48580
hipster-batch2,177945,8059526,0.1,17794,160151
hipster-batch2,177945,8059526,0.2,35589,142356
hipster-batch2,177945,8059526,0.3,53384,124561
hipster-batch2,177945,8059526,0.4,71178,106767
hipster-batch2,177945,8059526,0.5,88972,88973
hipster-batch2,177945,8059526,0.6,106767,71178
