dataset,budget_pct,budget_slug,scenario_count,A@1,A@3,MRR,A@1_CI95,A@3_CI95,MRR_CI95,summary_file,phase1_summary_file,sampled_trace_dir,kept_trace_ids_file,calibrated_target_tps,budget_mode,achieved_keep_pct,pre_cap_keep_pct
train-ticket,10.0,10p000pct,17,0.11764705882352941,0.4117647058823529,0.3296027501909855,"[0.0, 0.29411764705882354]","[0.17647058823529413, 0.6470588235294118]","[0.20518207282913165, 0.4686529157117392]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-train-ticket-sampled-10p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-10p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-10p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/train-ticket/10p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/train-ticket/10p000pct/kept_trace_ids.txt,0.012121254791648613,strict,9.998538225405643,25.069434293231986
train-ticket,20.0,20p000pct,17,0.11764705882352941,0.35294117647058826,0.26800981955780717,"[0.0, 0.29411764705882354]","[0.11764705882352941, 0.5882352941176471]","[0.13790849673202615, 0.41642899584076054]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-train-ticket-sampled-20p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-20p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-20p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/train-ticket/20p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/train-ticket/20p000pct/kept_trace_ids.txt,0.012121254791648613,strict,20.00073088729718,25.069434293231986
train-ticket,30.0,30p000pct,17,0.11764705882352941,0.35294117647058826,0.2758451215107562,"[0.0, 0.29411764705882354]","[0.11764705882352941, 0.5882352941176471]","[0.1426087500390906, 0.4216986144230726]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-train-ticket-sampled-30p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-30p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-30p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/train-ticket/30p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/train-ticket/30p000pct/kept_trace_ids.txt,0.07131184723255907,strict,29.995614676216924,29.995614676216924
train-ticket,40.0,40p000pct,17,0.058823529411764705,0.35294117647058826,0.24643335680487383,"[0.0, 0.17647058823529413]","[0.11764705882352941, 0.5882352941176471]","[0.13644960131028241, 0.37501327362008474]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-train-ticket-sampled-40p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-40p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-40p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/train-ticket/40p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/train-ticket/40p000pct/kept_trace_ids.txt,0.17577584700158755,strict,40.00146177459436,40.00146177459436
hipster-batch1,10.0,10p000pct,24,0.16666666666666666,0.5416666666666666,0.38136574074074076,"[0.041666666666666664, 0.3333333333333333]","[0.3333333333333333, 0.75]","[0.2701388888888889, 0.5064814814814814]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch1-sampled-10p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-10p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-10p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch1/10p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch1/10p000pct/kept_trace_ids.txt,0.31511536444167815,strict,10.000082339088836,59.625027789442484
hipster-batch1,20.0,20p000pct,24,0.16666666666666666,0.4166666666666667,0.3699570105820106,"[0.041666666666666664, 0.3333333333333333]","[0.20833333333333334, 0.625]","[0.2558366402116402, 0.4976851851851852]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch1-sampled-20p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-20p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-20p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch1/20p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch1/20p000pct/kept_trace_ids.txt,0.31511536444167815,strict,20.000164678177672,59.625027789442484
hipster-batch1,30.0,30p000pct,24,0.20833333333333334,0.4583333333333333,0.4012070105820106,"[0.041666666666666664, 0.375]","[0.25, 0.6666666666666666]","[0.2839616402116402, 0.5395006613756613]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch1-sampled-30p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-30p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-30p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch1/30p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch1/30p000pct/kept_trace_ids.txt,0.31511536444167815,strict,30.000247017266506,59.625027789442484
hipster-batch1,40.0,40p000pct,24,0.20833333333333334,0.4583333333333333,0.39912367724867726,"[0.041666666666666664, 0.375]","[0.25, 0.6666666666666666]","[0.28072089947089945, 0.5382440476190476]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch1-sampled-40p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-40p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-40p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch1/40p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch1/40p000pct/kept_trace_ids.txt,0.31511536444167815,strict,40.000329356355344,59.625027789442484
hipster-batch2,10.0,10p000pct,32,0.21875,0.5,0.4158854166666667,"[0.09375, 0.375]","[0.3125, 0.6875]","[0.3051215277777778, 0.5375868055555556]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch2-sampled-10p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-10p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-10p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch2/10p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch2/10p000pct/kept_trace_ids.txt,0.08033133496599813,strict,9.999719014302173,53.49293320969962
hipster-batch2,20.0,20p000pct,32,0.21875,0.46875,0.41045386904761905,"[0.09375, 0.375]","[0.28125, 0.65625]","[0.2990203373015873, 0.5318824404761905]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch2-sampled-20p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-20p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-20p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch2/20p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch2/20p000pct/kept_trace_ids.txt,0.08033133496599813,strict,20.0,53.49293320969962
hipster-batch2,30.0,30p000pct,32,0.21875,0.46875,0.4094122023809524,"[0.09375, 0.375]","[0.28125, 0.65625]","[0.29693700396825395, 0.531547619047619]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch2-sampled-30p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-30p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-30p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch2/30p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch2/30p000pct/kept_trace_ids.txt,0.08033133496599813,strict,30.00028098569783,53.49293320969962
hipster-batch2,40.0,40p000pct,32,0.1875,0.4375,0.39482886904761905,"[0.0625, 0.3125]","[0.25, 0.625]","[0.29074900793650793, 0.5094122023809524]",/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/rca-benchmark-hipster-batch2-sampled-40p000pct-coverage-first-20260403-paper-budgets-10-40-rerun-microrank-40p000pct-summary.json,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-40p000pct-20260403-paper-budgets-10-40-rerun.txt,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch2/40p000pct/trace,/home/leeduc/Desktop/KLTN/SignozCore/reports/analysis/paper-sampled-traces/20260403-paper-budgets-10-40-rerun/hipster-batch2/40p000pct/kept_trace_ids.txt,0.08033133496599813,strict,40.0,53.49293320969962
