budget_pct,method,A1,A3,MRR,top1_confidence,top1_gap
0.1,microrank_baseline,0.23366013071895422,0.4648692810457516,0.4104634704665342,11234584.163550645,7376343.51883538
0.1,v9_metric_aware,0.22201797385620914,0.42320261437908496,0.3961814034730701,30042025.81692953,1901653.5945420864
0.1,v10_guard_aware,0.167687908496732,0.4393382352941176,0.3733575214273744,0.12855103704620838,0.0015163926352579238
0.1,paper_trastrainer,0.42590000000000006,0.7774,0.5509,,
1.0,microrank_baseline,0.26123366013071897,0.5641339869281046,0.4443300074991896,3147694.819842393,189124.28189174517
1.0,v9_metric_aware,0.16176470588235295,0.4080882352941176,0.33970969174706916,48.56011782230393,10.099131656658498
1.0,v10_guard_aware,0.14215686274509806,0.38031045751633985,0.3279763668811751,0.12300772527423177,0.008953143384336778
1.0,paper_trastrainer,0.45159999999999995,0.7852,0.5889,,
2.5,microrank_baseline,0.18504901960784315,0.5328839869281046,0.3988454293754539,41.664864898284314,8.994439681781047
2.5,v9_metric_aware,0.11683006535947711,0.38276143790849676,0.30471103034450064,47.257951534722224,7.7743533876634
2.5,v10_guard_aware,0.1178513071895425,0.32822712418300654,0.2943925532061706,0.13077849491665552,0.6013733043097947
2.5,paper_trastrainer,0.5,0.8226,0.6556,,
