variant,budget_pct,A1,A3,MRR,jaccard,kendall_tau,swap_loss
V10-A,0.1,0.1270424836601307,0.33169934640522875,0.29069196677958936,1.0,1.0,0.0
V10-A,1.0,0.10743464052287582,0.3570261437908497,0.2803772356882939,1.0,1.0,0.0
V10-A,2.5,0.10743464052287582,0.38235294117647056,0.31045671281094395,1.0,1.0,0.0
V10-B,0.1,0.08782679738562092,0.3651960784313726,0.2799133708961059,1.0,1.0,0.0
V10-B,1.0,0.12826797385620917,0.38725490196078427,0.31987122531474466,1.0,1.0,0.0
V10-B,2.5,0.1178513071895425,0.33864379084967317,0.2992536643172817,1.0,1.0,0.0
V10-C,0.1,0.11907679738562092,0.40114379084967317,0.3335757753956283,1.0,1.0,0.0
V10-C,1.0,0.12826797385620917,0.36642156862745096,0.31547636688117514,1.0,1.0,0.0
V10-C,2.5,0.1178513071895425,0.32822712418300654,0.2943925532061706,1.0,1.0,0.0
V10-D,0.1,0.167687908496732,0.4393382352941176,0.3733575214273744,0.983485795368777,0.9803685387023524,0.044476741308217264
V10-D,1.0,0.14215686274509806,0.38031045751633985,0.3279763668811751,0.9994513031550069,0.9993509648522156,0.027359074059879435
V10-D,2.5,0.1178513071895425,0.32822712418300654,0.2943925532061706,1.0,1.0,0.0
